timestamp(ms),SignalStdIFR,Count, SignalACIFR, SignalACIFRNAOFILT,SignalS> SignalACIFRNAOFILT,
"1713735081.742","17.35","51","2350",,,
"1713735081.747","17.35","52",,"2363",,
"1713735081.748",,,"2353",,,
"1713735081.753","17.35","53","2354","2349",,
"1713735081.764",,,,"2349",,
"1713735081.765","17.37","55","2359","2364",,
"1713735081.77","17.35","56","2360","2349",,
"1713735081.776","17.35","57","2362","2350",,
"1713735081.781","17.36",,,"2363",,
"1713735081.782",,"58","2365",,,
"1713735081.787","17.35","59",,"2350",,
"1713735081.788",,,"2366",,,
"1713735081.793","17.35",,,"2351",,
"1713735081.794",,"60","2367",,,
"1713735081.798",,,,"2362",,
"1713735081.799","17.36","61","2369",,,
"1713735081.804","17.35",,,"2352",,
"1713735081.805",,"62","2370",,,
"1713735081.81","17.35","63","2372","2351",,
"1713735081.816","17.37","64","2373","2362",,
"1713735081.821",,,,"2350",,
"1713735081.822","17.36","65","2373",,,
"1713735081.827",,,,"2359",,
"1713735081.828","17.36","66","2374",,,
"1713735081.834","17.39",,,"2362",,
"1713735081.835",,"67","2376",,,
"1713735081.839","17.38","68","2375","2360",,
"1713735081.844","17.38",,,"2362",,
"1713735081.845",,"69","2377",,,
"1713735081.85","17.39","70","2377","2361",,
"1713735081.856","17.39","71","2377","2362",,
"1713735081.861",,,,"2364",,
"1713735081.862","17.39","72","2377",,,
"1713735081.867","17.4",,,"2363",,
"1713735081.869",,"73","2378",,,
"1713735081.873","17.4","74","2378","2363",,
"1713735081.878",,,,"2366",,
"1713735081.879","17.39","75","2378",,,
"1713735081.884",,,,"2363",,
"1713735081.885","17.38","76","2379",,,
"1713735081.89","17.38","77",,"2364",,
"1713735081.891",,,"2379",,,
"1713735081.896","17.38","78","2379","2366",,
"1713735081.901",,,,"2362",,
"1713735081.902","17.38","79","2380",,,
"1713735081.908","17.39","80","2379","2364",,
"1713735081.913","17.39","81","2381","2366",,
"1713735081.918",,,,"2362",,
"1713735081.919","17.39","82","2381",,,
"1713735081.924",,,,"2361",,
"1713735081.925","17.4","83","2381",,,
"1713735081.93","17.43","84","2382","2375",,
"1713735081.935","17.35",,,"2360",,
"1713735081.936",,"85","2382",,,
"1713735081.942",,,,"2360",,
"1713735081.943","17.36","86","2382",,,
"1713735081.947","17.39","87","2382","2366",,
"1713735081.952","17.38",,,"2361",,
"1713735081.953",,"88","2382",,,
"1713735081.958","17.39","89",,"2361",,
"1713735081.959",,,"2382",,,
"1713735081.964","17.42","90","2382","2366",,
"1713735081.97","17.4","91","2381","2360",,
"1713735081.975","17.4","92",,"2362",,
"1713735081.976",,,"2381",,,
"1713735081.981",,,,"2374",,
"1713735081.982","17.42","93","2382",,,
"1713735081.987","17.33","94","2381","2361",,
"1713735081.993","17.33","95",,"2361",,
"1713735081.994",,,"2381",,,
"1713735081.999","17.36","96","2381","2367",,
"1713735082.004","17.33","97","2381","2362",,
"1713735082.01","17.33","98","2380","2331",,
"1713735082.015",,,,"2312",,
"1713735082.016","17.29","99",,,,
"1713735082.017",,,"2382",,,
"1713735082.021","16.75","100",,"2300",,
"1713735082.022",,,"2381",,,
"1713735082.027","15.79","101","2382","2319",,
"1713735082.033","15.45","102",,"2347",,
"1713735082.034",,,"2383",,,
"1713735082.039","15.44","103","2382","2360",,
"1713735082.044","15.45",,,"2365",,
"1713735082.045",,"104","2383",,,
"1713735082.05","15.53","105","2384","2376",,
"1713735082.056","15.43","106",,"2377",,
"1713735082.057",,,"2384",,,
"1713735082.061",,,,"2378",,
"1713735082.062","15.32","107","2384",,,
"1713735082.067","15.29","108","2386","2377",,
"1713735082.074","15.18","109","2384","2376",,
"1713735082.079","15.09","110","2386","2378",,
"1713735082.084","15.07",,,"2376",,
"1713735082.085",,"111","2387",,,
"1713735082.091",,,,"2375",,
"1713735082.092","14.97","112",,,,
"1713735082.093",,,"2386",,,
"1713735082.096","14.88","113","2387","2378",,
"1713735082.101",,,,"2367",,
"1713735082.102","14.84","114","2387",,,
"1713735082.107",,,,"2366",,
"1713735082.108","14.84","115",,,,
"1713735082.109",,,"2386",,,
"1713735082.113","14.84","116","2388","2379",,
"1713735082.118",,,,"2365",,
"1713735082.119","14.7","117","2389",,,
"1713735082.124","14.78",,,"2365",,
"1713735082.125",,"118",,,,
"1713735082.126",,,"2388",,,
"1713735082.13","14.9","119","2389","2377",,
"1713735082.136","14.88","120","2388","2365",,
"1713735082.141",,,,"2362",,
"1713735082.142","14.88","121",,,,
"1713735082.143",,,"2387",,,
"1713735082.147","15.01","122",,"2376",,
"1713735082.148",,,"2388",,,
"1713735082.153","14.91","123","2387","2362",,
"1713735082.159","14.93","124","2386","2362",,
"1713735082.165","15.06","125","2387","2376",,
"1713735082.17","14.96","126",,"2362",,
"1713735082.171",,,"2386",,,
"1713735082.176","14.97","127","2385","2360",,
"1713735082.181",,,,"2363",,
"1713735082.183","15.12","128","2386",,,
"1713735082.187","15.12","129","2385","2347",,
"1713735082.193","15.09","130","2386","2346",,
"1713735082.198",,,,"2348",,
"1713735082.2","15.17","131","2387",,,
"1713735082.204","15.15",,,"2333",,
"1713735082.205",,"132","2386",,,
